year,country,gdp_tier,industry,company_size,num_employees,rd_spend_pct_gdp,internet_penetration_pct,digital_maturity_index,ai_adoption_rate,adoption_level
2021,Germany,3,Government,Large,46752,2.89,99.0,90.8,50.18,Medium
2021,Israel,3,Education,Medium,554,2.81,99.0,100.0,52.53,Medium
2022,Singapore,3,Media & Entertainment,Large,12171,2.25,92.0,100.0,88.09,High
2024,Israel,3,Gaming,Large,24150,2.96,99.0,98.1,97.0,High
2019,South Korea,3,Financial Services,Small,90,2.95,96.9,93.0,37.34,Medium
2018,Nigeria,1,Agriculture,Large,33667,1.28,44.3,40.3,2.0,Low
2019,Egypt,1,Healthcare,Large,10345,1.19,47.6,63.6,27.99,Low
2020,Australia,3,Automotive,Medium,960,3.07,99.0,82.3,41.23,Medium
2021,Nigeria,1,Healthcare,Large,37649,0.62,60.8,45.3,32.74,Medium
2023,United States,3,Healthcare,Small,18,2.44,93.6,91.6,66.35,High
2024,Egypt,1,Automotive,Small,75,1.3,61.0,46.9,48.0,Medium
2021,Nigeria,1,Education,Medium,573,1.31,56.1,51.4,13.56,Low
2023,Israel,3,Financial Services,Large,30926,2.66,93.9,78.8,97.0,High
2020,Germany,3,Financial Services,Large,34120,2.91,99.0,100.0,70.14,High
2025,India,1,Manufacturing,Small,66,0.98,68.4,39.8,61.78,High
2019,Netherlands,3,Automotive,Large,26380,2.77,79.8,88.5,69.49,High
2021,France,3,Government,Large,18259,2.39,99.0,81.2,36.65,Medium
2019,Nigeria,1,Media & Entertainment,Large,32667,1.38,61.2,60.4,23.38,Low
2023,Japan,3,Financial Services,Large,7632,2.63,98.7,92.0,94.52,High
2024,Singapore,3,Education,Large,5743,2.28,99.0,89.7,77.54,High
2019,United States,3,Media & Entertainment,Small,16,2.69,92.0,93.7,31.8,Medium
2019,Australia,3,Technology,Large,24358,3.11,90.9,100.0,65.99,High
2024,India,1,Healthcare,Medium,715,1.33,65.2,39.9,73.62,High
2019,Australia,3,Gaming,Medium,660,2.43,84.7,71.9,50.23,Medium
2025,Australia,3,Financial Services,Large,44278,2.64,92.1,84.0,97.0,High
2018,Netherlands,3,Education,Large,47773,2.45,85.0,93.9,49.89,Medium
2024,Germany,3,Technology,Small,40,2.42,99.0,98.3,81.43,High
2025,Australia,3,Automotive,Large,11387,3.14,87.5,76.0,97.0,High
2025,Morocco,1,Automotive,Small,78,1.45,55.6,55.4,44.22,Medium
2022,United States,3,Legal,Large,13224,2.89,99.0,91.5,68.46,High
2024,Israel,3,Retail,Medium,715,2.9,99.0,66.6,77.7,High
2019,Netherlands,3,Education,Large,3890,3.05,92.9,100.0,53.41,Medium
2021,Australia,3,Manufacturing,Medium,974,2.16,99.0,98.1,46.39,Medium
2021,France,3,Agriculture,Large,33400,2.18,99.0,71.2,30.8,Medium
2020,South Africa,1,Technology,Medium,484,1.22,62.7,40.3,32.19,Medium
2022,France,3,Manufacturing,Medium,246,3.02,99.0,79.8,49.0,Medium
2022,Nigeria,1,Manufacturing,Small,86,1.32,50.7,48.3,20.55,Low
2024,Germany,3,Legal,Small,91,2.51,99.0,97.3,46.91,Medium
2023,United Kingdom,3,Technology,Medium,867,2.52,98.7,93.4,90.04,High
2024,South Africa,1,Healthcare,Small,79,0.4,64.5,62.1,43.85,Medium
2025,Egypt,1,Media & Entertainment,Medium,891,1.18,70.2,59.6,66.63,High
2018,Israel,3,Agriculture,Medium,973,2.83,97.2,89.4,15.63,Low
2025,Canada,3,Education,Large,17122,3.27,92.5,84.1,89.95,High
2018,Netherlands,3,Manufacturing,Small,74,3.36,97.6,87.6,21.97,Low
2018,Egypt,1,Media & Entertainment,Medium,636,1.51,64.3,55.3,14.98,Low
2024,South Korea,3,Legal,Medium,304,2.03,99.0,96.0,69.64,High
2019,United Kingdom,3,Media & Entertainment,Large,21921,2.7,99.0,100.0,61.5,High
2019,United States,3,Manufacturing,Small,81,3.17,99.0,100.0,35.4,Medium
2021,Egypt,1,Retail,Medium,446,0.91,59.7,48.3,28.91,Low
2018,Canada,3,Education,Large,19007,2.19,99.0,91.8,38.13,Medium
2018,South Korea,3,Manufacturing,Large,29389,2.44,97.5,100.0,51.27,Medium
2019,Germany,3,Technology,Medium,625,2.73,99.0,94.9,47.87,Medium
2020,France,3,Retail,Medium,466,2.76,98.8,92.5,34.08,Medium
2022,United Kingdom,3,Manufacturing,Large,28937,2.96,99.0,100.0,84.64,High
2024,Netherlands,3,Automotive,Small,81,2.17,96.5,100.0,70.11,High
2020,India,1,Healthcare,Small,68,0.93,49.9,49.5,23.94,Low
2025,Australia,3,Gaming,Large,11472,2.91,79.3,73.3,97.0,High
2022,United States,3,Media & Entertainment,Small,89,3.0,99.0,91.7,46.19,Medium
2023,United States,3,Education,Large,17698,2.65,99.0,100.0,81.68,High
2024,Israel,3,Agriculture,Large,2619,2.64,96.3,79.8,71.62,High
2021,South Africa,1,Gaming,Small,17,1.13,61.0,58.7,22.12,Low
2022,Germany,3,Technology,Large,39203,2.42,99.0,100.0,97.0,High
2019,India,1,Legal,Small,46,1.48,57.0,58.0,11.36,Low
2022,Singapore,3,Financial Services,Large,44908,2.41,99.0,97.3,92.36,High
2024,Israel,3,Government,Medium,535,2.59,99.0,76.9,62.13,High
2020,Singapore,3,Government,Medium,925,3.24,94.5,79.3,32.39,Medium
2020,Singapore,3,Technology,Small,5,2.89,99.0,100.0,42.99,Medium
2022,Brazil,2,Media & Entertainment,Large,47356,2.4,90.8,82.1,61.57,High
2020,France,3,Gaming,Small,92,2.62,99.0,83.7,38.11,Medium
2018,Morocco,1,Healthcare,Medium,706,1.09,64.9,85.9,13.08,Low
2025,South Africa,1,Agriculture,Large,27086,1.19,63.7,63.4,53.41,Medium
2022,China,2,Legal,Large,33734,1.85,71.7,74.1,59.95,High
2024,Morocco,1,Education,Medium,594,0.99,56.8,45.8,43.7,Medium
2018,India,1,Gaming,Large,34452,0.89,70.2,49.3,50.54,Medium
2023,Australia,3,Technology,Medium,135,2.58,97.7,100.0,84.31,High
2020,South Africa,1,Agriculture,Medium,670,0.92,80.5,40.8,6.11,Low
2020,South Africa,1,Gaming,Small,50,0.81,48.5,47.5,18.81,Low
2022,Singapore,3,Government,Large,1589,2.38,99.0,84.7,54.03,Medium
2024,Morocco,1,Automotive,Small,71,1.04,51.5,44.4,45.64,Medium
2025,United States,3,Gaming,Medium,677,2.97,78.0,98.0,97.0,High
2023,France,3,Legal,Medium,506,2.36,95.1,94.6,57.73,High
2020,Nigeria,1,Healthcare,Medium,293,0.64,59.1,60.0,14.44,Low
2019,United Kingdom,3,Automotive,Small,26,1.88,97.4,74.5,41.44,Medium
2018,Mexico,2,Financial Services,Small,39,1.54,82.3,56.8,5.4,Low
2019,United States,3,Media & Entertainment,Large,12593,2.3,96.0,100.0,68.88,High
2021,Morocco,1,Education,Large,16218,1.42,61.3,41.1,23.11,Low
2020,Brazil,2,Legal,Small,61,2.12,76.1,62.3,18.43,Low
2018,Egypt,1,Agriculture,Medium,521,0.82,66.6,27.5,2.0,Low
2020,Germany,3,Education,Small,25,2.28,99.0,98.2,30.51,Medium
2021,Egypt,1,Technology,Medium,930,0.75,65.6,58.1,42.82,Medium
2019,Canada,3,Automotive,Medium,980,2.36,99.0,100.0,42.03,Medium
2023,China,2,Legal,Medium,881,2.03,81.3,53.9,53.26,Medium
2019,India,1,Media & Entertainment,Large,44883,1.24,55.1,38.9,44.82,Medium
2020,Morocco,1,Media & Entertainment,Large,3396,1.24,60.4,66.1,27.79,Low
2020,Australia,3,Government,Large,22539,2.64,99.0,78.3,40.87,Medium
2024,Morocco,1,Legal,Large,39191,1.16,76.2,29.6,57.24,High
2020,France,3,Media & Entertainment,Medium,121,2.5,99.0,69.4,49.41,Medium
2023,United Kingdom,3,Government,Medium,880,3.05,93.5,70.9,57.66,High
2021,Nigeria,1,Healthcare,Medium,971,0.98,67.4,42.4,34.33,Medium
2020,India,1,Media & Entertainment,Medium,243,1.65,69.0,51.3,37.2,Medium
2025,Israel,3,Manufacturing,Large,35121,2.43,92.8,100.0,97.0,High
2020,Morocco,1,Legal,Medium,123,1.3,64.7,30.5,16.88,Low
2024,Singapore,3,Media & Entertainment,Large,9566,2.38,99.0,75.8,97.0,High
2021,Singapore,3,Financial Services,Small,88,2.47,99.0,74.4,45.1,Medium
2023,China,2,Manufacturing,Medium,985,1.96,80.3,73.7,66.86,High
2022,South Africa,1,Media & Entertainment,Medium,728,1.82,49.9,63.1,39.89,Medium
2018,Morocco,1,Technology,Large,42138,1.17,61.7,42.9,22.92,Low
2025,South Korea,3,Healthcare,Small,74,2.56,98.4,94.0,72.69,High
2023,Mexico,2,Automotive,Small,96,1.95,84.1,58.3,36.52,Medium
2022,Israel,3,Legal,Medium,852,2.14,95.1,100.0,57.73,High
2025,China,2,Retail,Large,8506,1.81,70.9,77.7,97.0,High
2019,South Korea,3,Agriculture,Large,37176,2.48,99.0,79.7,27.16,Low
2024,Singapore,3,Gaming,Medium,125,2.32,85.0,100.0,94.87,High
2018,Egypt,1,Education,Medium,516,1.48,56.6,49.8,2.0,Low
2023,Egypt,1,Education,Small,12,1.49,56.9,49.3,36.66,Medium
2018,Morocco,1,Legal,Large,31613,1.66,69.7,63.6,5.69,Low
2023,Sweden,3,Automotive,Small,23,2.53,84.7,85.7,57.43,High
2024,Morocco,1,Media & Entertainment,Large,10567,0.65,61.1,49.1,63.51,High
2023,Canada,3,Legal,Small,96,2.66,99.0,90.4,49.97,Medium
2019,Israel,3,Technology,Large,4627,2.45,99.0,98.5,95.63,High
2025,Israel,3,Healthcare,Large,6949,2.0,93.1,100.0,97.0,High
2022,Egypt,1,Agriculture,Small,80,1.23,69.6,40.1,14.33,Low
2021,Egypt,1,Financial Services,Large,13710,1.37,57.9,50.3,49.24,Medium
2020,Nigeria,1,Retail,Small,55,1.14,51.8,42.7,11.01,Low
2021,Netherlands,3,Media & Entertainment,Medium,146,2.68,99.0,89.2,58.19,High
2022,United Kingdom,3,Legal,Small,25,3.27,89.4,94.7,41.76,Medium
2023,Israel,3,Healthcare,Medium,379,2.53,99.0,97.3,77.53,High
2024,France,3,Manufacturing,Medium,249,2.64,99.0,95.8,76.43,High
2022,Sweden,3,Legal,Medium,449,2.85,97.0,75.6,41.06,Medium
2024,France,3,Technology,Small,98,2.31,99.0,100.0,73.96,High
2024,Morocco,1,Gaming,Medium,327,0.57,63.4,64.2,53.19,Medium
2023,China,2,Retail,Small,60,1.76,76.0,59.9,57.92,High
2022,Nigeria,1,Healthcare,Large,45079,1.29,73.7,50.7,31.61,Medium
2025,Mexico,2,Automotive,Medium,554,1.98,63.4,68.8,64.48,High
2020,United States,3,Media & Entertainment,Medium,721,2.35,99.0,94.7,52.47,Medium
2022,South Korea,3,Education,Medium,450,1.96,90.3,86.4,47.54,Medium
2021,United Kingdom,3,Automotive,Large,48661,2.91,89.9,80.7,73.39,High
2018,South Africa,1,Automotive,Large,37382,1.05,50.1,52.1,22.87,Low
2019,France,3,Education,Small,14,2.18,99.0,99.8,18.08,Low
2022,Mexico,2,Financial Services,Small,76,1.41,84.9,74.9,28.14,Low
2018,United States,3,Agriculture,Medium,731,2.55,94.9,99.9,12.39,Low
2022,South Korea,3,Government,Large,29500,2.7,93.5,75.2,49.6,Medium
2025,Canada,3,Media & Entertainment,Medium,540,3.11,86.7,93.2,89.15,High
2018,Nigeria,1,Media & Entertainment,Large,21705,1.44,63.7,64.2,21.64,Low
2021,China,2,Financial Services,Medium,878,1.78,80.8,76.2,64.26,High
2020,Singapore,3,Media & Entertainment,Small,76,2.95,99.0,86.2,41.15,Medium
2019,France,3,Legal,Large,40635,2.47,94.4,75.6,30.93,Medium
2023,Australia,3,Government,Small,25,2.27,92.3,70.7,41.82,Medium
2023,Germany,3,Technology,Large,16052,2.37,97.5,90.9,97.0,High
2024,Brazil,2,Manufacturing,Large,12070,1.22,94.5,77.3,72.41,High
2020,China,2,Financial Services,Medium,631,2.29,80.1,81.7,63.67,High
2018,Israel,3,Financial Services,Large,47892,2.29,95.6,81.0,80.28,High
2020,France,3,Automotive,Small,96,2.25,99.0,96.4,32.63,Medium
2018,United States,3,Automotive,Medium,717,2.44,89.1,80.7,38.94,Medium
2019,Morocco,1,Agriculture,Small,58,0.83,58.7,41.5,2.0,Low
2025,Israel,3,Education,Medium,988,2.74,95.0,92.1,86.84,High
2018,Japan,3,Manufacturing,Large,39210,2.49,94.7,77.8,44.48,Medium
2020,India,1,Healthcare,Large,16168,0.94,76.4,55.5,60.91,High
2024,Australia,3,Healthcare,Small,70,2.47,99.0,100.0,60.97,High
2022,India,1,Financial Services,Small,7,1.02,65.2,51.0,42.64,Medium
2022,Egypt,1,Education,Medium,674,1.34,64.4,62.6,38.69,Medium
2024,United States,3,Media & Entertainment,Medium,281,2.39,99.0,99.2,85.49,High
2018,Mexico,2,Government,Large,9397,1.84,93.0,58.6,13.87,Low
2023,Egypt,1,Manufacturing,Medium,904,1.6,65.0,55.4,40.75,Medium
2018,Israel,3,Media & Entertainment,Small,44,2.29,83.0,88.0,30.46,Medium
2018,Japan,3,Manufacturing,Small,58,3.05,99.0,92.0,13.52,Low
2023,Netherlands,3,Media & Entertainment,Medium,403,2.49,99.0,100.0,69.66,High
2018,Japan,3,Gaming,Large,14339,2.84,99.0,93.2,59.63,High
2022,Australia,3,Retail,Small,75,2.82,99.0,81.5,42.43,Medium
2020,Netherlands,3,Manufacturing,Large,33272,2.5,99.0,87.1,74.74,High
2025,Sweden,3,Government,Small,66,2.6,82.1,98.7,59.24,High
2019,Morocco,1,Retail,Medium,285,0.88,48.5,47.0,4.29,Low
2022,Egypt,1,Technology,Small,27,1.3,67.8,42.3,30.44,Medium
2019,Egypt,1,Retail,Medium,590,1.04,76.0,54.3,14.94,Low
2023,Netherlands,3,Automotive,Small,54,2.75,95.7,92.2,58.11,High
2021,Morocco,1,Technology,Small,92,0.84,57.9,57.8,27.66,Low
2022,Netherlands,3,Media & Entertainment,Large,18186,2.29,99.0,93.1,91.99,High
2018,Japan,3,Automotive,Small,94,2.89,88.4,86.1,13.7,Low
2023,China,2,Automotive,Large,15244,1.52,66.0,73.9,76.88,High
2020,Australia,3,Manufacturing,Medium,176,3.05,99.0,83.5,43.93,Medium
2019,Mexico,2,Financial Services,Large,1067,2.36,80.4,47.6,31.89,Medium
2020,Japan,3,Gaming,Medium,498,2.22,99.0,84.3,56.39,High
2024,Israel,3,Healthcare,Small,79,2.34,99.0,100.0,83.39,High
2022,Sweden,3,Technology,Small,9,2.42,89.2,93.1,54.74,Medium
2018,Egypt,1,Agriculture,Large,23447,1.43,57.0,42.0,2.03,Low
2021,Morocco,1,Government,Medium,743,1.09,60.6,42.9,8.9,Low
2024,Nigeria,1,Agriculture,Medium,922,0.99,55.3,39.4,41.86,Medium
2020,South Africa,1,Retail,Medium,394,0.81,66.8,51.8,28.74,Low
2019,Germany,3,Media & Entertainment,Small,51,2.77,95.6,99.5,21.95,Low
2025,India,1,Agriculture,Small,87,1.59,68.0,68.7,53.58,Medium
2024,United Kingdom,3,Education,Medium,541,2.24,82.3,85.4,67.66,High
2024,China,2,Financial Services,Large,22566,1.92,79.3,80.8,97.0,High
2023,Egypt,1,Technology,Medium,629,0.41,53.3,62.7,56.62,High
2019,South Africa,1,Healthcare,Small,86,0.73,53.7,56.1,9.56,Low
2024,Australia,3,Financial Services,Small,96,2.35,97.6,97.6,51.66,Medium
2019,Germany,3,Gaming,Medium,954,2.25,99.0,97.7,42.64,Medium
2022,Israel,3,Retail,Small,61,2.83,99.0,80.2,47.11,Medium
2023,India,1,Gaming,Large,28061,0.96,61.4,61.7,91.13,High
2022,India,1,Automotive,Small,68,1.21,54.3,52.7,48.71,Medium
2020,Brazil,2,Retail,Small,55,2.03,78.8,72.0,16.34,Low
2018,France,3,Financial Services,Medium,338,2.37,98.5,82.2,35.33,Medium
2022,Morocco,1,Education,Medium,612,0.96,68.1,43.5,20.33,Low
2025,Australia,3,Agriculture,Large,27974,1.9,99.0,78.3,61.11,High
2023,South Korea,3,Manufacturing,Medium,108,2.03,99.0,100.0,64.38,High
2021,Mexico,2,Financial Services,Medium,719,2.12,83.9,65.4,45.35,Medium
2019,Brazil,2,Government,Medium,840,1.99,82.1,67.4,2.0,Low
2021,South Korea,3,Technology,Medium,629,2.54,99.0,96.7,63.68,High
2021,Brazil,2,Technology,Medium,196,1.8,67.9,72.4,40.43,Medium
2018,Nigeria,1,Retail,Large,25377,1.26,66.6,54.4,11.73,Low
2025,United Kingdom,3,Healthcare,Medium,397,2.18,98.4,100.0,95.73,High
2021,Nigeria,1,Manufacturing,Small,23,1.35,51.8,49.6,17.94,Low
2023,Israel,3,Retail,Medium,674,2.48,99.0,98.1,85.86,High
2018,Japan,3,Agriculture,Medium,215,2.98,99.0,80.7,6.03,Low
2023,Morocco,1,Technology,Small,9,1.31,69.2,41.8,38.65,Medium
2024,Morocco,1,Financial Services,Small,34,1.13,39.0,37.7,40.12,Medium
2019,Singapore,3,Financial Services,Large,45746,2.77,99.0,100.0,75.14,High
2018,South Africa,1,Legal,Medium,876,1.21,48.3,47.2,2.0,Low
2020,South Korea,3,Legal,Medium,173,2.59,97.9,99.7,33.65,Medium
2024,Canada,3,Government,Small,92,2.67,82.7,81.3,49.16,Medium
2025,United States,3,Legal,Medium,903,2.85,99.0,95.0,89.37,High
2021,South Korea,3,Education,Small,17,2.79,99.0,89.9,24.36,Low
2019,South Africa,1,Legal,Small,68,1.07,50.1,39.6,2.0,Low
2025,Sweden,3,Education,Small,79,2.45,96.8,79.0,60.38,High
2021,Singapore,3,Media & Entertainment,Large,49671,2.77,99.0,91.8,75.42,High
2022,Australia,3,Legal,Medium,212,1.98,99.0,92.7,37.82,Medium
2023,India,1,Legal,Medium,250,1.49,64.1,55.6,49.58,Medium
2025,Nigeria,1,Media & Entertainment,Small,50,1.37,57.0,60.9,58.03,High
2020,Morocco,1,Agriculture,Large,7077,1.11,50.0,48.8,8.47,Low
2020,Egypt,1,Government,Large,19526,0.89,59.1,49.4,21.81,Low
2025,Singapore,3,Retail,Small,56,2.32,93.1,85.5,68.7,High
2023,China,2,Government,Large,33917,1.77,78.2,70.1,61.14,High
2025,Singapore,3,Legal,Small,51,2.59,83.4,79.2,69.77,High
2019,Canada,3,Agriculture,Large,25271,2.31,94.8,70.0,10.55,Low
2023,Singapore,3,Healthcare,Large,49988,2.71,99.0,96.0,97.0,High
2018,South Korea,3,Manufacturing,Small,10,2.89,99.0,80.7,6.51,Low
2022,Morocco,1,Legal,Medium,747,1.13,66.1,67.5,19.72,Low
2023,Sweden,3,Gaming,Medium,137,2.31,99.0,100.0,72.79,High
2025,Germany,3,Gaming,Large,34637,2.99,99.0,91.9,97.0,High
2025,India,1,Education,Small,74,1.52,69.1,53.2,56.07,High
2018,South Africa,1,Retail,Small,89,1.54,63.8,53.9,2.0,Low
2023,Sweden,3,Agriculture,Medium,725,2.34,99.0,91.1,46.69,Medium
2023,Canada,3,Gaming,Large,28431,2.54,99.0,75.7,95.19,High
2023,South Korea,3,Manufacturing,Large,28097,3.05,87.4,81.7,97.0,High
2025,Germany,3,Healthcare,Large,44747,2.66,93.7,94.3,97.0,High
2023,Nigeria,1,Technology,Small,26,1.28,74.0,40.9,33.72,Medium
2019,United States,3,Legal,Large,7697,2.48,99.0,94.9,36.77,Medium
2025,Israel,3,Manufacturing,Medium,757,2.4,99.0,89.3,97.0,High
2023,Brazil,2,Manufacturing,Small,72,1.77,78.0,70.5,32.46,Medium
2024,France,3,Healthcare,Large,16092,2.49,89.7,100.0,97.0,High
2021,Canada,3,Automotive,Small,12,2.03,94.0,89.4,33.43,Medium
2020,Sweden,3,Automotive,Large,46949,2.27,98.9,92.4,57.17,High
2022,Netherlands,3,Technology,Large,47443,2.53,99.0,91.0,97.0,High
2024,United States,3,Media & Entertainment,Large,20049,2.23,92.7,94.4,97.0,High
2021,Nigeria,1,Automotive,Small,29,0.92,48.3,51.5,10.82,Low
2020,India,1,Government,Small,12,1.12,75.0,45.5,10.91,Low
2021,India,1,Media & Entertainment,Large,17173,1.35,66.4,63.1,57.16,High
2023,Germany,3,Healthcare,Small,52,2.75,90.2,100.0,64.0,High
2025,Mexico,2,Financial Services,Medium,341,1.71,81.9,69.2,79.46,High
2021,Morocco,1,Government,Small,95,1.21,58.9,30.6,13.55,Low
2019,United Kingdom,3,Education,Large,19066,2.83,90.0,87.5,48.87,Medium
2025,Israel,3,Government,Large,46838,3.14,99.0,91.4,97.0,High
2019,France,3,Gaming,Small,28,2.68,99.0,85.1,32.25,Medium
2024,Australia,3,Media & Entertainment,Medium,750,2.12,99.0,81.0,79.75,High
2019,Australia,3,Government,Large,39503,2.92,91.4,92.1,27.62,Low
2023,South Africa,1,Education,Large,48006,0.88,53.0,39.6,42.17,Medium
2025,Sweden,3,Education,Large,30908,2.84,87.2,86.9,92.75,High
2019,Israel,3,Legal,Large,49604,2.41,93.4,88.6,42.79,Medium
2024,Sweden,3,Legal,Large,38172,2.05,99.0,84.6,66.74,High
2020,Sweden,3,Financial Services,Medium,852,2.24,94.9,76.9,52.1,Medium
2025,Japan,3,Healthcare,Small,99,2.63,99.0,87.6,70.0,High
2025,Japan,3,Education,Small,63,2.76,95.8,83.5,64.73,High
2020,Egypt,1,Technology,Medium,703,1.5,44.2,48.2,38.93,Medium
2018,Egypt,1,Education,Small,11,0.8,68.8,49.0,2.0,Low
2025,South Africa,1,Government,Medium,184,1.33,55.7,49.7,50.68,Medium
2018,South Korea,3,Automotive,Small,37,2.82,99.0,83.6,10.91,Low
2024,Nigeria,1,Retail,Medium,305,1.45,45.3,45.9,57.86,High
2019,Singapore,3,Gaming,Small,55,2.91,98.0,91.8,37.33,Medium
2021,Morocco,1,Legal,Small,55,0.81,60.5,46.5,17.01,Low
2018,China,2,Legal,Medium,542,2.34,81.1,56.7,26.79,Low
2025,China,2,Media & Entertainment,Small,34,1.92,83.1,71.9,64.68,High
2021,Mexico,2,Retail,Medium,143,2.17,89.7,64.1,36.83,Medium
2025,Germany,3,Healthcare,Small,15,2.18,99.0,74.8,66.37,High
2024,Nigeria,1,Government,Medium,748,1.26,73.4,38.4,38.36,Medium
2025,Sweden,3,Gaming,Large,47957,2.64,99.0,79.4,97.0,High
2023,United States,3,Government,Medium,211,2.12,98.0,89.8,61.34,High
2025,South Africa,1,Financial Services,Small,65,0.57,52.5,42.9,50.84,Medium
2024,Netherlands,3,Media & Entertainment,Small,34,2.7,99.0,78.2,72.53,High
2025,China,2,Healthcare,Large,16317,2.16,93.3,84.8,97.0,High
2019,South Korea,3,Legal,Medium,656,2.79,99.0,95.0,16.66,Low
2022,Japan,3,Retail,Medium,362,2.9,82.3,88.7,58.84,High
2023,United Kingdom,3,Manufacturing,Medium,795,2.87,99.0,97.3,66.84,High
2021,Japan,3,Automotive,Small,90,2.73,99.0,97.7,30.54,Medium
2025,South Korea,3,Healthcare,Large,14347,2.79,93.7,82.5,97.0,High
2019,Japan,3,Manufacturing,Small,75,2.3,99.0,95.4,29.11,Low
2018,Canada,3,Retail,Large,31289,2.91,99.0,82.7,48.56,Medium
2023,South Africa,1,Gaming,Medium,493,0.98,64.4,55.5,57.77,High
2024,South Africa,1,Automotive,Medium,338,1.32,55.1,57.1,46.44,Medium
2018,United Kingdom,3,Financial Services,Medium,432,2.83,99.0,100.0,37.06,Medium
2020,Mexico,2,Government,Large,20498,1.81,80.7,60.6,16.39,Low
2021,China,2,Retail,Small,94,1.44,80.2,58.9,30.84,Medium
2022,Israel,3,Technology,Medium,673,2.78,92.8,94.1,90.11,High
2025,Brazil,2,Media & Entertainment,Small,30,1.76,86.1,69.1,60.76,High
2020,United States,3,Manufacturing,Large,43481,2.42,99.0,76.0,69.98,High
2025,United Kingdom,3,Legal,Large,49015,2.6,99.0,73.6,79.55,High
2021,Germany,3,Financial Services,Medium,432,3.02,99.0,100.0,59.4,High
2018,Egypt,1,Gaming,Large,14061,0.77,58.5,75.3,33.03,Medium
2025,Japan,3,Media & Entertainment,Large,12945,2.67,91.0,76.1,96.38,High
2024,Mexico,2,Legal,Large,25805,1.57,84.2,63.9,48.1,Medium
2023,China,2,Financial Services,Small,69,2.02,77.8,76.6,56.14,High
2023,United States,3,Financial Services,Small,73,2.79,87.7,79.1,63.94,High
2023,Netherlands,3,Gaming,Large,8846,2.42,95.9,95.9,97.0,High
2020,South Africa,1,Education,Medium,378,0.95,67.2,57.6,17.92,Low
2018,South Korea,3,Technology,Large,13661,2.84,97.4,100.0,78.69,High
2022,Nigeria,1,Education,Medium,376,1.15,49.8,41.5,23.1,Low
2023,Japan,3,Healthcare,Medium,167,2.66,99.0,76.8,69.39,High
2020,Germany,3,Healthcare,Medium,356,2.48,87.1,93.1,51.71,Medium
2021,Singapore,3,Government,Small,35,2.59,99.0,80.2,22.1,Low
2024,United States,3,Government,Large,10825,2.53,96.9,68.2,77.67,High
2021,South Korea,3,Healthcare,Small,87,2.45,99.0,100.0,40.04,Medium
2023,Morocco,1,Agriculture,Small,75,0.94,46.4,42.5,24.7,Low
2023,Singapore,3,Healthcare,Medium,430,2.8,99.0,80.7,80.11,High
2021,India,1,Gaming,Large,21301,1.16,61.7,50.0,57.66,High
2018,United States,3,Agriculture,Large,19733,2.99,99.0,77.8,14.49,Low
2021,South Africa,1,Media & Entertainment,Large,35825,0.68,67.0,41.9,52.54,Medium
2020,Canada,3,Retail,Medium,723,2.61,99.0,100.0,48.86,Medium
2019,Brazil,2,Financial Services,Small,25,1.97,87.6,88.8,8.13,Low
2023,Japan,3,Financial Services,Small,55,2.73,82.7,88.1,52.58,Medium
2022,South Korea,3,Automotive,Large,38390,2.76,99.0,100.0,88.89,High
2023,United States,3,Retail,Large,31435,2.8,99.0,96.7,97.0,High
2020,Canada,3,Media & Entertainment,Medium,240,2.15,98.9,100.0,54.2,Medium
2021,Singapore,3,Gaming,Large,18580,2.48,91.6,89.2,85.2,High
2025,Israel,3,Agriculture,Large,9461,2.64,92.2,74.3,80.89,High
2018,Sweden,3,Healthcare,Medium,460,2.39,98.9,81.4,45.09,Medium
2022,Singapore,3,Manufacturing,Medium,307,2.26,99.0,94.1,58.07,High
2021,Japan,3,Technology,Medium,668,2.35,99.0,84.8,61.79,High
2024,Australia,3,Legal,Medium,843,3.11,96.1,78.3,59.06,High
2022,South Africa,1,Manufacturing,Small,93,0.54,46.6,59.9,26.58,Low
2021,Canada,3,Healthcare,Large,28186,2.61,89.4,100.0,85.3,High
2019,South Africa,1,Media & Entertainment,Large,41479,1.31,47.4,39.7,24.95,Low
2018,Singapore,3,Education,Large,12301,2.15,96.7,100.0,45.33,Medium
2023,Japan,3,Media & Entertainment,Medium,179,3.13,90.9,92.3,66.09,High
2020,Israel,3,Automotive,Large,14380,2.96,99.0,80.1,91.78,High
2025,Morocco,1,Retail,Large,13861,1.46,68.0,45.9,53.29,Medium
2019,Mexico,2,Gaming,Small,63,1.57,84.4,67.2,14.83,Low
2021,Singapore,3,Manufacturing,Small,5,2.78,99.0,76.7,46.19,Medium
2019,Canada,3,Technology,Medium,351,2.69,99.0,85.3,49.82,Medium
2023,Canada,3,Technology,Medium,706,2.25,93.4,100.0,75.56,High
2019,India,1,Government,Small,43,0.88,53.7,62.2,2.0,Low
2021,Japan,3,Healthcare,Small,92,2.22,99.0,100.0,35.78,Medium
2025,Sweden,3,Retail,Medium,931,2.46,99.0,100.0,88.57,High
2020,Singapore,3,Financial Services,Large,12201,1.98,99.0,93.3,87.44,High
2019,Brazil,2,Retail,Large,27826,1.88,83.8,55.5,30.11,Medium
2020,France,3,Education,Small,9,3.04,90.9,89.9,24.16,Low
2021,Nigeria,1,Agriculture,Large,5768,1.26,60.9,52.2,17.2,Low
